raw_outlet,kind,n_patients,median_radius_cm,cx,cy,cz,label,group
ardx,outlet,9,0.225543569789007,-4.905925273895264,-15.801949501037598,-127.0007095336914,,
arsx,outlet,9,0.1901742686446107,3.3534657955169678,-17.84612464904785,-127.29788970947266,,
ca,outlet,10,0.31313477209437307,-0.18735246360301971,-19.990753173828125,-123.95787811279297,,
eadx,outlet,1,0.2384394582678634,6.070062160491943,-19.786535263061523,-56.65900421142578,,
easx,outlet,1,0.23887046021290162,-4.390912055969238,-17.031047821044922,-54.483211517333984,,
iadx,outlet,1,0.30299748425447137,4.885422706604004,-12.28764533996582,-54.23626708984375,,
iasx,outlet,1,0.20635802613851073,-0.7459653615951538,-13.44387149810791,-53.00182342529297,,
iedx,outlet,9,0.4127430130725107,-6.823958396911621,-15.556417465209961,-144.96498107910156,,
iesx,outlet,9,0.4005629624611964,5.498090744018555,-13.671412467956543,-144.45907592773438,,
iidx,outlet,9,0.3679644644495883,-4.44672155380249,-13.163751602172852,-144.14625549316406,,
iisx,outlet,9,0.3938060337562252,1.8897223472595215,-11.773487091064453,-145.15802001953125,,
inlet,inlet,10,1.3062518514485884,0.3649284541606903,-11.941999435424805,-118.65312194824219,inlet,inlet
radx,outlet,1,0.2495755548281933,-2.4010958671569824,-14.577713012695312,-36.185646057128906,,
rasx,outlet,1,0.3262475380374395,6.561218738555908,-14.661885261535645,-36.108367919921875,,
sma,outlet,10,0.2587776902371302,-1.0411452054977417,-20.72203254699707,-124.4100112915039,,
