time,ca,eadx,easx,iadx,iasx,inlet,radx,rasx,sma
0.005,4.006408819133772,0.9197938048934696,1.120446146821164,1.199935605663345,0.7436473545740495,-19.487160412296085,1.4388363784641647,2.950443276850927,2.261746111199315
0.01,4.953981683601587,1.2000536657784036,1.4096411949062733,1.7091212492465764,0.9306471138367558,-19.63633476171296,1.7630970625189022,3.655733460686853,2.8025836397843995
0.015,5.17192973467963,1.3162679971026567,1.49640680276184,1.999730900655262,0.9817399429793241,-19.835882216488706,1.8277375020464346,3.806280679879814,2.9329197904414324
0.02,5.233328533758179,1.3865120985079011,1.535973439784347,2.2013176668941776,1.003092546429416,-20.0899684453028,1.8414621049647741,3.838981293295814,2.973583649875122
0.025,5.2785371527824205,1.4416046687118418,1.5665143435121993,2.357547016880391,1.0204133355573557,-20.405311912084855,1.8540066843441034,3.8639355119864014,3.003823980004561
0.03,5.343182501947398,1.491496056165905,1.5983776903928353,2.4875422682734283,1.0400386955333534,-20.7935514447869,1.876562466941888,3.907400094892764,3.0442194036257115
0.035,5.437035084139642,1.5407817063185143,1.6352255583413595,2.602474361801954,1.0638204963566256,-21.267372896914566,1.9112360039503233,3.9750288852196216,3.100587770535314
0.04,5.565643067105991,1.5927923878105457,1.6794989143588088,2.7107454705830385,1.0930474106982175,-21.847254387976392,1.9592120843805834,4.069751069983357,3.1762682617541222
0.045,5.73424338289646,1.6504019813460902,1.7333908200297885,2.8193137313725796,1.1290153407570105,-22.557613871795894,2.02198697054165,4.19478739749749,3.2744003559918515
0.05,5.948793481398324,1.7163641753666317,1.7991742233754016,2.9343355600261853,1.173138588108981,-23.426034017408078,2.10152139952643,4.354160275221173,3.3985278822617375
0.055,6.2175901501973625,1.7936942770333162,1.8796153518899081,3.0617513825915124,1.2272470203669255,-24.48801845088358,2.2007974923447158,4.553813154987564,3.553505056986505
0.06,6.548713748165131,1.8852878899597019,1.9774244454954917,3.207013348922009,1.2931018017030607,-25.77782285767401,2.322716764168363,4.7994779053030765,3.744085859941246
0.065,6.951191160945924,1.9941973571229563,2.095568005538409,3.3754628271702396,1.3726352027846673,-27.33272088074803,2.470549406168809,5.097532910568978,3.975583782624555
0.07,7.43460722134099,2.123553605638005,2.23715068826481,3.572264454848712,1.4678969177586905,-29.191686823613704,2.647826909870114,5.454723230197571,4.253663787842041
0.075,8.006175552174362,2.276067431325169,2.404761262178065,3.8018964409557428,1.580499675730862,-31.385060498588313,2.8571373306208825,5.875793469180003,4.5827293862579515
0.08,8.673660188117086,2.4545264706672008,2.6011187532094557,4.068629586228466,1.7121974526098303,-33.9449004456731,3.1013749264154438,6.36584123779409,4.967551901292891
0.085,9.44209745112334,2.6611699398524356,2.8282771617311653,4.3757662980571155,1.864262569999218,-36.89321220736256,3.3824464936804386,6.9277384045271635,5.411453972959151
0.09,10.313652120622965,2.8976796030079925,3.087616637306196,4.725507100447313,2.037461447964948,-40.24133968396457,3.7012014793318775,7.5619801999807414,5.9162411913118165
0.095,11.290500935866085,3.165622087076496,3.3804416816446263,5.119272399155198,2.2326182303067656,-44.00004483944867,4.058692509774429,8.269093963984572,6.483803125216142
0.1,12.368689910968008,3.465314308279641,3.7065530138180307,5.5564188102643115,2.449426064725801,-48.15756432731277,4.453663614563404,9.044793297701492,7.112705404699893
0.105,13.543963322679767,3.7968688459465207,4.065620984093189,6.035323469972345,2.6875612949858683,-52.70031366604584,4.884906286187401,9.884638234520052,7.801431329943427
0.11,14.811357907237355,4.159980700106978,4.45696249562878,6.5531343160397055,2.946592490647812,-57.6112997312589,5.35118052642446,10.783967824591368,8.548123586873105
0.115,16.146509744746076,4.550519575539388,4.875205512243281,7.102159216567215,3.2223505605093012,-62.8033911259307,5.843454413267841,11.723079923321803,9.340112296287488
0.12,17.55520267663093,4.969156375865021,5.321496833130951,7.679182005648311,3.5163996893529434,-68.2951631653871,6.365321177574845,12.70708368707782,10.18132085972424
0.125,19.0222098039822,5.4133309302502655,5.792792777663328,8.277887355737679,3.826158996195358,-74.03122333412973,6.911100519582545,13.723499117043819,11.064243994934476
0.13,20.528459366384375,5.878642118291754,6.284078768668313,8.889734122146463,4.148263910071245,-79.94065112365178,7.474190818276734,14.758565022189469,11.978717172716355
0.135,22.055081844047706,6.360429883122292,6.790258001479625,9.506374309420483,4.479196979388376,-85.95313412435142,8.047865875950254,15.799452247038516,12.914475174857529
0.14,23.586624245858125,6.854121541976685,7.306603959894662,10.12039298009862,4.815897904965839,-92.00985657392303,8.62672148870169,16.836736593472605,13.862758062127178
0.145,25.10351321894548,7.353948563973093,7.8270615269059896,10.724208328290617,5.154269321411946,-98.03600112082965,9.203427584812289,17.857517645091235,14.812055132601502
0.15,26.587649262565947,7.854051522484553,8.345625905476771,11.311291007155894,5.490306265363527,-103.96148944199325,9.771058712188115,18.850216993476536,15.75128998868209
0.155,28.020961772701607,8.34820128720671,8.855913477186705,11.875608642701035,5.819803732224013,-109.71567151010622,10.32253149322441,19.80370560463883,16.66894572350685
0.16,29.384296292230076,8.829714360564548,9.35093936668753,12.411211239985224,6.13810662183856,-115.22278855972968,10.849965171217226,20.70627905435249,17.552276683936345
0.165,30.661647505193194,9.292261651398979,9.824129270096812,12.912939255015907,6.440950185722642,-120.41663124224092,11.346459786090794,21.548536901219627,18.38970692196356
0.17,31.83576609206946,9.729142086238808,10.268371475309742,13.375552656510026,6.723686429093643,-125.22477684311016,11.804440628419739,22.31927865358395,19.168539063317542
0.17500000000000002,32.89222449515229,10.134157888989277,10.677246299369902,13.794765111302441,6.982195156514095,-129.58408750095128,12.217499400514054,23.00837584181877,19.877623551325556
0.18,33.817917813182135,10.501344334066685,11.044778410776333,14.167197337808481,7.212674092886227,-133.4367015571298,12.5799232052393,23.606122621146298,20.506743992476146
0.185,34.59951934037525,10.824879091701733,11.365173368783475,14.48995092737558,7.411349159099056,-136.72563166992694,12.886066761297458,24.102858555317553,21.04583472334533
0.19,35.227129029522615,11.099961085624653,11.633710417680916,14.760810417821705,7.5751957072380565,-139.40773943081183,13.131733864151819,24.4921972111297,21.487001962497846
0.195,35.69230892753971,11.322380713654095,11.846235279594739,14.977691971012936,7.7015980805988935,-141.44665279251922,13.313351714015305,24.76970442566967,21.823381950073856
0.2,35.98885987250334,11.4886595795968,11.999446825892173,15.139148765182942,7.788534164607482,-142.8154419723179,13.428223262123453,24.93292013770496,22.049649641566866
0.20500000000000002,36.11447020898019,11.596492463077276,12.091288503945941,15.24469235005536,7.834900608607794,-143.50248604108768,13.475286868412894,24.982328189243955,22.163027128361357
0.21,36.06825905260125,11.644572675754038,12.12053255426065,15.294179989218508,7.840063737525947,-143.50280705483863,13.454104138636684,24.919032432512108,22.162062754667684
0.215,35.85369616482927,11.63316301695329,12.087530495640042,15.288384261653292,7.804468766663521,-142.82846617258585,13.366024097506436,24.74689844215997,22.048301212235454
0.22,35.47731553886521,11.56369072188372,11.993786443882499,15.228734167439082,7.7294228517340695,-141.50354718972255,13.213691140342032,24.471402662526515,21.825503948655204
0.225,34.944860334370404,11.438048563262033,11.841136343259105,15.116709481865193,7.616347284292724,-139.55054849866534,12.99943448800111,24.096508219851827,21.49750406762082
0.23,34.276686582048455,11.26134581976221,11.635356876646284,14.956968879643995,7.469723150699503,-137.04545662358996,12.73159651365517,23.636956912918283,21.076822167733788
0.23500000000000001,33.472154160707866,11.035332470749474,11.37777012873212,14.750323082895662,7.290161049935066,-133.99068641901346,12.409932915695853,23.090298276088163,20.564714606520518
0.24,32.54911322190788,10.764920123257545,11.073872680731691,14.500756084860605,7.081875970158684,-130.45449460823994,12.042027522568356,22.469201000481394,19.972728269946106
0.245,31.52070203835099,10.454824415293428,10.728781723556423,14.211978274520478,6.848293052273653,-126.48986188784494,11.633314490709434,21.78166776643442,19.310300389093072
0.25,30.401613486041107,10.110090206418025,10.34802001246517,13.887962994454373,6.59316044848722,-122.15547118336447,11.189947743990597,21.036908539716794,18.5877680059197
0.255,29.20407541344312,9.735390036528225,9.936626117692269,13.532211619649514,6.319746647480896,-117.50133218022873,10.717073811675974,20.242092894553313,17.814115887044792
0.26,27.940471783008135,9.335398920874304,9.499674167409609,13.148198153264799,6.031310079388514,-112.57787440379317,10.219896165171365,19.40458898943821,16.998336385940576
0.265,26.621769083253735,8.914416419535947,9.041803129998485,12.738995620016723,5.730759395793102,-107.43007805382436,9.70303673449942,18.530819188530444,16.148478715779106
0.27,25.257538732009024,8.47635051049899,8.567196241711546,12.307282080117563,5.420662735348834,-102.09745353392323,9.170527782067037,17.626260426107507,15.271635249394402
0.275,23.856661723606727,8.024817139870796,8.079722127686432,11.855492287392536,5.103385729751645,-96.61656985185185,8.626117624666355,16.69604148513449,14.374331941151928
0.28,22.427359015695227,7.563130091949952,7.58293569659169,11.385847612478397,4.781091844127436,-91.02126467553651,8.073298306663068,15.74502037224963,13.462581934845208
0.28500000000000003,20.9769210643906,7.094293421060757,7.080041391694135,10.900348148705866,4.455711233416185,-85.3417444582854,7.515168653983587,14.77751147491631,12.541749263759801
0.29,19.51297352265807,6.621221334463827,6.574174219010449,10.401030233465319,4.1291812589654375,-79.60906891829977,6.954955034874752,13.79829122273401,11.61724226733736
0.295,18.043538005621677,6.1467884876952645,6.068435522970005,9.890040860211299,3.8034480112163136,-73.85530579789963,6.395990200586601,12.812537764232458,10.694527109432432
