time,ardx,arsx,ca,iedx,iesx,iidx,iisx,inlet,sma
0.005,1.641470449242548,2.5738470305160113,6.196025244168669,4.4089107000037675,5.958800817599613,3.113297658036679,1.3390315365289398,-36.40341762357113,2.11953861455801
0.01,1.8907411370933358,2.9292008339201168,7.060034817710701,5.9121855387023805,8.089549318527373,4.412804877662842,1.726741378689838,-36.682086042345205,2.397704394055162
0.015,1.8380364605338508,2.822435554887682,6.772980086527549,6.622636838273057,9.12068283696894,5.146973092814454,1.8644964292340849,-37.05485503455267,2.3008327921660436
0.02,1.7517409645186361,2.6714864275195667,6.364432300958098,7.077448734380252,9.764976184370685,5.652424256995116,1.9335132137414095,-37.52950639997276,2.172039017076973
0.025,1.6915576740995568,2.565132086394799,6.059199012463412,7.426837154162693,10.235337436254373,6.038563101423422,1.984009981319908,-38.11859067306848,2.0825928415791823
0.03,1.665224548144852,2.5126142939254392,5.8855000041396925,7.727328122738446,10.619510374443612,6.354003320311113,2.0316424679609537,-38.84385005457147,2.0391864980382657
0.035,1.6686017425275856,2.5066042011737037,5.828840631077453,8.009219535297234,10.967464377710655,6.628339231112705,2.0826222908972816,-39.728982619309804,2.0350804112527046
0.04,1.6979496145831696,2.5406144312364085,5.874005866554912,8.294349765190415,11.315017807833131,6.8841516440420305,2.14100470471756,-40.81224295666415,2.064596481217996
0.045,1.751390025233734,2.611061592118581,6.011207248547037,8.600386722279918,11.690138944854628,7.140038829438797,2.210211562240609,-42.13924558878166,2.1246724109071127
0.05,1.8284834930189007,2.7167962968537793,6.236080856107193,8.943208651288103,12.116751698885693,7.412310201649467,2.2935475580182896,-43.7615168950881,2.214303477746595
0.055,1.9309553278136935,2.8597266426654566,6.551261599083365,9.339011346516784,12.617971575269088,7.716510307576579,2.3947789937715935,-45.74538021695735,2.3351556586689
0.06,2.0604910250021504,3.042086230025024,6.960537818654251,9.803205772745748,13.215100022636648,8.066830057623143,2.51750833846954,-48.15482763898788,2.4890660735276926
0.065,2.2193763252434673,3.2671150072079205,7.470247354583871,10.351768243522601,13.92962994827868,8.477084360029387,2.6655786597138205,-51.05948900995348,2.6786884191080707
0.07,2.4104760791868296,3.5387869541131143,8.088383014651189,11.000882259726314,14.782872150752269,8.960467586951328,2.8429674241418432,-54.53217113569569,2.907335368670499
0.075,2.6349836748756275,3.859172946382863,8.818915539804461,11.765059033701535,15.793636296486914,9.528258228859821,3.0529894556316903,-58.62955095866543,3.1765355744343022
0.08,2.8948729881958726,4.231162942603184,9.667416131540865,12.658949125222891,16.98050657392445,10.190891398163913,3.2990958421286773,-63.411516147507164,3.4886209493890377
0.085,3.190759367866943,4.6558283115971,10.635249126036111,13.694627802870652,18.358337029204257,10.956127727043627,3.5839035707179514,-68.91917463208301,3.8443414919009045
0.09,3.5217033983744006,5.132283139853918,11.719375265147766,14.881504217362648,19.93813036429271,11.8288674898007,3.909148681457066,-75.17371762798501,4.242704852324579
0.095,3.8878505363369014,5.660569656012731,12.918302702734316,16.227782665648373,21.728746505851355,12.811830164900448,4.276428221355121,-82.19524926995085,4.683738570849025
0.1,4.285931243150916,6.236428296758309,14.22095900383739,17.735973859193535,23.731120650374486,13.902310095025811,4.685443391109801,-89.96179478298922,5.163627978764703
0.105,4.713409356101882,6.856322723902132,15.617628404002513,19.407045713734608,25.943700480903207,15.094909144795468,5.135649511890443,-98.44797736694487,5.679311742985742
0.11,5.168826261325713,7.51750875710923,17.100054884783802,21.23888757219116,28.360735630406094,16.38134494204905,5.626004508404431,-107.62205266116484,6.228689786610234
0.115,5.637606559281516,8.201561390597266,18.626949928325836,23.212501710019414,30.955162814528418,17.742619472649668,6.149559401202665,-117.32125289608135,6.795291276456035
0.12,6.129816088828024,8.918260860789054,20.217213150510563,25.325272153756412,33.721276854668744,19.172090224519597,6.707242850616936,-127.58027816060178,7.389105596637572
0.125,6.6356334958992536,9.656489826343277,21.847322754724644,27.563090130869934,36.64051894298782,20.65817574447245,7.294576275939061,-138.29565122608912,7.999843650799351
0.13,7.148054348133123,10.40549556544263,23.492136312728995,29.901514386890934,39.68059798282406,22.1835826340789,7.904830379376614,-149.33488750627123,8.618675459123777
0.135,7.659867095544863,11.155098503049519,25.128487930779748,32.315734937852824,42.80858052204712,23.73061309936078,8.531212268165493,-160.56663832252525,9.237043501259272
0.14,8.167262809563347,11.89901864245612,26.741829292090614,34.782052856840195,45.99210019680334,25.281059068169682,9.167674754012971,-171.8810315326591,9.850033414437139
0.145,8.663449823632646,12.627574730833567,28.310984712850548,37.27324732126263,49.1934994268604,26.813200083971545,9.8067942045493,-183.1383031480726,10.449552309634388
0.15,9.142666077934855,13.33241724759177,29.818345362320176,39.76341070662719,52.376033936501976,28.304503897730694,10.441459704470693,-194.20754159328928,11.02870408349556
0.155,9.599454113244537,14.005404518200024,31.247183091311115,42.22603621185498,55.50218143102201,29.731241953206865,11.064402997845953,-204.95676771542156,11.580862785308922
0.16,10.027039523877233,14.636986464066265,32.57824189437914,44.63203520654708,58.53342095978326,31.070833792218217,11.667865000455684,-215.2444584962298,12.098035008519197
0.165,10.420334170078903,15.219705083044573,33.796972483499886,46.95078875326585,61.43375948202866,32.30654616075825,12.244724849799232,-224.94693028183954,12.574098617964642
0.17,10.77280208641693,15.744389093337606,34.885176157579735,49.14667431290718,64.16518863152027,33.426074161958525,12.787267555497088,-233.928892198061,13.001319485592349
0.17500000000000002,11.079180499851155,16.203554040687052,35.82833949584088,51.186118970099244,66.69231858020704,34.42089488179272,13.288585597017171,-242.07239811123014,13.373405310573602
0.18,11.334725583788432,16.590352765827575,36.613161241933874,53.040086644372934,68.98048265134608,35.283656302706184,13.742267194039371,-249.26935846529815,13.684625318741755
0.185,11.534177014378539,16.89750793486857,37.22502433871229,54.68554130533802,70.99436480873892,36.00563660643945,14.142295924169822,-255.41331637105597,13.928767653932631
0.19,11.674344266774217,17.120394545019188,37.65437604375822,56.106485451297004,72.70146327892785,36.58005589406561,14.484623782024535,-260.4236867358862,14.101942676518508
0.195,11.752644378391123,17.255207212635824,37.89279036720981,57.28828268566433,74.07136062407918,37.004575670082694,14.766699325045254,-264.232523557896,14.200962487912628
0.2,11.766894026601666,17.298892772496924,37.93345312817701,58.216560401216995,75.08281638508585,37.28173224815626,14.985925720741161,-266.7895202467497,14.223244751748588
0.20500000000000002,11.716639131383392,17.250461138339798,37.77483754143464,58.87852337837984,75.73176675818749,37.41595190114498,15.136673831434996,-268.07296801590695,14.168113525280255
0.21,11.601258247521486,17.108884146493878,37.416861303678914,59.26354037874261,76.02788504986424,37.41044666940458,15.209876989199081,-268.0735677278268,14.034814135129945
